SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,8959,8959,0,0,0,516,516,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,188,170,18,0,0,56,56,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,351,172,174,5,0,45,44,1,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,327,102,221,4,0,24,16,8,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,292,143,146,3,0,11,-22,32,1,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,580,170,401,9,0,14,6,8,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,607,225,358,24,0,37,32,5,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,833,192,613,28,0,57,47,10,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,933,557,376,0,0,26,4,22,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,95,19,76,0,0,9,2,7,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,354,158,192,4,0,2,-2,4,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,34,23,11,0,0,1,1,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,167,76,90,1,0,24,17,7,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,48,30,18,0,0,3,-2,5,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,249,188,61,0,0,40,39,1,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,189,75,114,0,0,16,16,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,38,38,0,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,2,2,0,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,2,1,1,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,1,1,0,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2,2,0,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,7,7,0,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,1,1,0,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,1,0,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1,1,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,17,17,0,0,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,105,50,55,0,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,52,45,7,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,19,12,7,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,90,8,82,0,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,15,15,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,38,38,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,89,89,0,0,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,71,65,6,0,0,1,1,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,306,301,5,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,55,50,5,0,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,88,81,7,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,57,38,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,225,138,87,0,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,52,46,5,1,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,266,266,0,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,46,-8,54,0,0,2,2,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,149,128,21,0,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,423,105,315,3,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,14,7,7,0,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,83,67,16,0,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,73,63,10,0,0,16,16,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,75,69,6,0,0,4,4,0,0,,
65,AS,Assam,AS_Majuli,Majuli,7,7,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,30,19,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,198,173,25,0,0,19,19,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,25,16,9,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,27,27,0,0,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,41,6,35,0,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,7,6,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,102,96,6,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,85,83,2,0,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,17,17,0,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,83,43,39,1,0,4,4,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,63,20,43,0,0,4,1,3,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,91,28,62,1,0,3,-6,9,0,,
78,BR,Bihar,BR_Banka,Banka,150,55,95,0,0,2,-13,15,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,282,79,200,3,0,0,-16,16,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,280,129,150,1,0,11,2,9,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,128,52,74,2,0,18,18,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,144,40,104,0,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,135,58,75,2,0,0,-15,14,1,,
101,BR,Bihar,BR_East Champaran,East Champaran,134,61,72,1,0,3,-3,6,0,,
84,BR,Bihar,BR_Gaya,Gaya,125,84,41,0,0,5,1,4,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,146,45,101,0,0,-2,-2,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,48,19,28,1,0,4,-1,5,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,180,52,127,1,0,0,-4,4,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,117,57,60,0,0,4,4,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,192,113,79,0,0,1,1,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,280,160,117,3,0,1,-5,6,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,113,95,18,0,0,9,9,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,66,35,31,0,0,0,-1,1,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,124,76,47,1,0,8,-1,9,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,240,132,108,0,0,1,-21,22,0,,
95,BR,Bihar,BR_Munger,Munger,224,84,139,1,0,8,8,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,128,88,39,1,0,2,-1,3,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,138,26,111,1,0,3,-4,7,0,,
