SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,7250,7250,0,0,0,127,127,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,123,119,4,0,0,4,4,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,255,86,165,4,0,17,17,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,285,72,209,4,0,4,2,2,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,253,166,85,2,0,1,-12,13,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,540,141,390,9,0,5,5,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,505,146,337,22,0,8,6,0,2,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,745,131,587,27,0,0,-7,7,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,700,442,258,0,0,84,70,14,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,85,18,67,0,0,1,1,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,288,98,186,4,0,5,5,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,29,18,11,0,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,111,37,73,1,0,1,1,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,32,19,13,0,0,2,2,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,149,92,57,0,0,4,4,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,150,36,114,0,0,2,2,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,28,28,0,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2,2,0,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,1,0,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,7,7,0,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,1,0,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,0,,
